State,Age_Bracket,Age_Lower,Age_Upper,Race,Deaths,Bracket_Median_Age,Bracket_Mean_Age,Life Expectancy,YLL (based on age bracket median),YLL (based on age bracket weighted mean),YLL (based on upper age in bracket)
Michigan,70_79,70.0,79.0,Asian,56.0,74.5,74.23,90.934023829,920.3053344239999,935.4253344239996,668.3053344239999
Michigan,80+,80.0,,Asian,61.0,80.0,85.19,90.934023829,666.9754535689998,350.385453569,
New Mexico,18_44,18.0,44.0,Asian,0.0,31.0,31.6,88.09129733,0.0,0.0,0.0
New Mexico,45_64,45.0,64.0,Asian,4.0,54.5,53.14,88.09129733,134.36518932,139.80518932,96.36518932000001
New Mexico,65_74,65.0,74.0,Asian,9.0,69.5,69.34,88.09129733,167.32167597000003,168.76167597,126.82167597000003
New Mexico,75+,75.0,,Asian,13.0,75.0,81.49,88.09129733,170.18686529000004,85.81686529000011,
South Dakota,0_9,0.0,9.0,Asian,0.0,4.5,4.58,84.179902523,0.0,0.0,0.0
South Dakota,10_19,10.0,19.0,Asian,0.0,14.5,14.84,84.179902523,0.0,0.0,0.0
South Dakota,20_29,20.0,29.0,Asian,0.0,24.5,24.46,84.179902523,0.0,0.0,0.0
South Dakota,30_39,30.0,39.0,Asian,0.0,34.5,34.69,84.179902523,0.0,0.0,0.0
South Dakota,40_49,40.0,49.0,Asian,1.0,44.5,44.3,84.179902523,39.679902522999996,39.879902523,35.179902522999996
South Dakota,50_59,50.0,59.0,Asian,2.0,54.5,54.09,84.179902523,59.35980504599999,60.179805045999984,50.35980504599999
South Dakota,60_69,60.0,69.0,Asian,4.0,64.5,64.3,84.179902523,78.71961009199998,79.519610092,60.71961009199998
South Dakota,70_79,70.0,79.0,Asian,1.0,74.5,74.23,84.179902523,9.679902522999996,9.949902522999992,5.1799025229999955
South Dakota,80+,80.0,,Asian,8.0,80.0,85.19,84.179902523,33.439220183999964,0.0,
California,0_17,0.0,17.0,AIAN,0.0,8.5,8.58,78.250078308,0.0,0.0,0.0
California,18_34,18.0,34.0,AIAN,4.0,26.0,26.03,78.250078308,209.000313232,208.880313232,177.000313232
California,35_49,35.0,49.0,AIAN,10.0,42.0,41.8,78.250078308,362.50078308,364.50078308,292.50078308
California,50_64,50.0,64.0,AIAN,34.0,57.0,56.12,78.250078308,722.502662472,752.4226624720001,484.502662472
California,65_79,65.0,79.0,AIAN,68.0,72.0,71.55,78.250078308,425.00532494399994,455.60532494400013,0.0
California,80+,80.0,,AIAN,60.0,80.0,85.19,78.250078308,0.0,0.0,
Illinois,0_19,0.0,19.0,AIAN,0.0,9.5,9.59,115.13101326,0.0,0.0,0.0
Illinois,20_29,20.0,29.0,AIAN,0.0,24.5,24.46,115.13101326,0.0,0.0,0.0
Illinois,30_39,30.0,39.0,AIAN,0.0,34.5,34.69,115.13101326,0.0,0.0,0.0
Illinois,40_49,40.0,49.0,AIAN,0.0,44.5,44.3,115.13101326,0.0,0.0,0.0
Illinois,50_59,50.0,59.0,AIAN,0.0,54.5,54.09,115.13101326,0.0,0.0,0.0
Illinois,60_69,60.0,69.0,AIAN,9.0,64.5,64.3,115.13101326,455.67911934000006,457.47911934000007,415.17911934000006
Illinois,70_79,70.0,79.0,AIAN,6.0,74.5,74.23,115.13101326,243.78607956000002,245.40607956,216.78607956000002
Illinois,80+,80.0,,AIAN,8.0,80.0,85.19,115.13101326,281.04810608,239.52810608000004,
Michigan,0_9,0.0,9.0,AIAN,0.0,4.5,4.58,77.177975374,0.0,0.0,0.0
Michigan,10_19,10.0,19.0,AIAN,0.0,14.5,14.84,77.177975374,0.0,0.0,0.0
Michigan,20_29,20.0,29.0,AIAN,0.0,24.5,24.46,77.177975374,0.0,0.0,0.0
Michigan,30_39,30.0,39.0,AIAN,0.0,34.5,34.69,77.177975374,0.0,0.0,0.0
Michigan,40_49,40.0,49.0,AIAN,0.0,44.5,44.3,77.177975374,0.0,0.0,0.0
Michigan,50_59,50.0,59.0,AIAN,0.0,54.5,54.09,77.177975374,0.0,0.0,0.0
Michigan,60_69,60.0,69.0,AIAN,25.0,64.5,64.3,77.177975374,316.94938434999995,321.94938435000006,204.44938434999997
Michigan,70_79,70.0,79.0,AIAN,23.0,74.5,74.23,77.177975374,61.593433601999976,67.80343360199988,0.0
Michigan,80+,80.0,,AIAN,13.0,80.0,85.19,77.177975374,0.0,0.0,
New Mexico,18_44,18.0,44.0,AIAN,127.0,31.0,31.6,72.817346738,5310.8030357259995,5234.603035726,3659.8030357259995
